symbol,expiration,strike,right,lot,dte,undId,undPrice,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,margin,rom,remqty,expPrice,expRom,qty
AJANTPHAR,20190627,880.0,P,500,44,187395649,1043.8,897.05,1595.0,520.4000000000001,361.04999999999995,71.29838922246627,901.2032215550674,1257.695167667399,359161113,7.1,602538.6099999994,0.048874649935484904,2,145.25,0.9998651976238285,1
AJANTPHAR,20190627,860.0,P,500,44,187395649,1043.8,897.05,1595.0,520.4000000000001,361.04999999999995,71.29838922246627,901.2032215550674,1257.695167667399,359161107,5.0,602538.6099999994,0.03441876756020064,2,145.25,0.9998651976238285,1
AJANTPHAR,20190627,840.0,P,500,44,187395649,1043.8,897.05,1595.0,520.4000000000001,361.04999999999995,71.29838922246627,901.2032215550674,1257.695167667399,359161096,3.4,602538.6099999994,0.023404761940936433,2,145.25,0.9998651976238285,1
ALBK,20190530,33.0,P,13000,16,56988229,41.6,33.15,81.95,25.200000000000003,18.150000000000006,4.15408111867214,33.29183776265572,54.062243356016424,355568362,0.05,114902.29999999888,0.12904985365828314,2,0.4,1.032398829266265,1
ALBK,20190530,31.0,P,13000,16,56988229,41.6,33.15,81.95,25.200000000000003,18.150000000000006,4.15408111867214,33.29183776265572,54.062243356016424,355568345,0.05,114902.29999999888,0.12904985365828314,2,0.4,1.032398829266265,1
ALBK,20190530,30.0,P,13000,16,56988229,41.6,33.15,81.95,25.200000000000003,18.150000000000006,4.15408111867214,33.29183776265572,54.062243356016424,355568339,0.2,114902.29999999888,0.5161994146331326,2,0.4,1.032398829266265,1
AMARAJABA,20190627,540.0,P,700,44,113744943,625.85,621.5,908.45,204.4000000000001,197.45000000000005,42.45677039693116,540.9364592061377,753.2203111907935,359169176,0.85,80384.49000000022,0.06140233588028537,3,13.85,1.0004968846375912,1
AMARAJABA,20190627,530.0,P,700,44,113744943,625.85,621.5,908.45,204.4000000000001,197.45000000000005,42.45677039693116,540.9364592061377,753.2203111907935,359169170,0.5,80384.49000000022,0.03611902110605022,3,13.85,1.0004968846375912,1
AMARAJABA,20190627,520.0,P,700,44,113744943,625.85,621.5,908.45,204.4000000000001,197.45000000000005,42.45677039693116,540.9364592061377,753.2203111907935,359169161,0.3,80384.49000000022,0.02167141266363013,3,13.85,1.0004968846375912,1
AMBUJACEM,20190627,185.0,P,2500,44,44652129,210.0,188.35,280.0,57.19999999999999,56.400000000000006,9.980649077050465,190.03870184589908,239.9419472311514,359185520,0.8,97065.4299999997,0.17092500482312956,2,4.7,1.004184403335886,1
AMBUJACEM,20190627,180.0,P,2500,44,44652129,210.0,188.35,280.0,57.19999999999999,56.400000000000006,9.980649077050465,190.03870184589908,239.9419472311514,359185515,0.45,97065.4299999997,0.09614531521301035,2,4.7,1.004184403335886,1
AMBUJACEM,20190530,185.0,P,2500,16,44652129,210.0,188.35,280.0,48.44999999999999,46.5,6.602221860562814,196.79555627887436,229.80666558168843,355577923,0.1,97065.4299999997,0.05875547040795079,2,1.7,0.9988429969351632,1
ARVIND,20190530,62.5,P,2000,16,56988374,73.6,72.15,169.05,39.425,24.224999999999994,5.446858352587022,62.70628329482595,89.94057505776107,359197593,0.15,28079.5,0.24372763047775067,5,0.6,0.9749105219110027,1
ARVIND,20190530,60.0,P,2000,16,56988374,73.6,72.15,169.05,39.425,24.224999999999994,5.446858352587022,62.70628329482595,89.94057505776107,359197587,0.05,28079.5,0.08124254349258356,5,0.6,0.9749105219110027,1
ARVIND,20190530,57.5,P,2000,16,56988374,73.6,72.15,169.05,39.425,24.224999999999994,5.446858352587022,62.70628329482595,89.94057505776107,359197576,0.05,28079.5,0.08124254349258356,5,0.6,0.9749105219110027,1
BAJAJ-AUT,20190530,2400.0,P,250,16,56987980,2972.75,2423.4,3468.2,589.4500000000003,539.9000000000001,75.10114948734807,2822.547701025304,3198.0534484620443,355558930,2.35,134825.83999999985,0.09940486000309744,2,23.65,1.000393591095002,1
BAJAJ-AUT,20190530,2250.0,P,250,16,56987980,2972.75,2423.4,3468.2,589.4500000000003,539.9000000000001,75.10114948734807,2822.547701025304,3198.0534484620443,355558906,2.2,134825.83999999985,0.09305986893906994,2,23.65,1.000393591095002,2
BAJAJ-AUT,20190530,2200.0,P,250,16,56987980,2972.75,2423.4,3468.2,589.4500000000003,539.9000000000001,75.10114948734807,2822.547701025304,3198.0534484620443,355558896,2.3,134825.83999999985,0.09728986298175493,2,23.65,1.000393591095002,2
BALKRISIN,20190627,660.0,P,800,44,81899870,814.45,745.0,1453.55,485.44999999999993,442.29999999999995,68.11242120667441,678.2251575866512,1018.7872636200233,359223569,1.05,119601.12999999896,0.05826183931691849,2,18.0,0.9987743882900312,1
BALKRISIN,20190530,640.0,P,800,16,81899870,814.45,745.0,1453.55,453.54999999999995,303.6500000000001,59.27017474150795,695.9096505169841,992.2605242245239,359222921,0.75,119601.12999999896,0.11444289865823273,2,6.55,0.9994679816152325,1
BALKRISIN,20190530,620.0,P,800,16,81899870,814.45,745.0,1453.55,453.54999999999995,303.6500000000001,59.27017474150795,695.9096505169841,992.2605242245239,359222915,0.4,119601.12999999896,0.061036212617724135,2,6.55,0.9994679816152325,1
BANKBAROD,20190530,85.0,P,4000,16,180222138,105.8,91.05,191.75,52.599999999999994,43.69999999999999,8.287634475776636,89.22473104844673,130.66290342732992,355551552,0.6,79097.09999999963,0.6921871977607302,1,0.85,0.9805985301610345,1
BANKBAROD,20190530,80.0,P,4000,16,180222138,105.8,91.05,191.75,52.599999999999994,43.69999999999999,8.287634475776636,89.22473104844673,130.66290342732992,355551544,0.35,79097.09999999963,0.4037758653604259,1,0.85,0.9805985301610345,1
BANKBAROD,20190530,77.5,P,4000,16,180222138,105.8,91.05,191.75,52.599999999999994,43.69999999999999,8.287634475776636,89.22473104844673,130.66290342732992,359381043,0.3,79097.09999999963,0.3460935988803651,1,0.85,0.9805985301610345,1
BEL,20190627,70.0,P,6000,44,269577540,86.9,72.5,193.4,49.95,34.55,6.839119376509954,73.2217612469801,107.41735812952987,359504092,0.2,99851.33000000007,0.09969366912334013,2,2.0,0.9969366912334013,1
BEL,20190530,71.8,P,6000,16,269577540,86.9,72.5,193.4,43.150000000000006,26.35000000000001,4.048665612247563,78.80266877550488,99.04599683674269,359503588,0.05,99851.33000000007,0.06853939752229635,2,0.75,1.0280909628344452,1
BEL,20190530,69.3,P,6000,16,269577540,86.9,72.5,193.4,43.150000000000006,26.35000000000001,4.048665612247563,78.80266877550488,99.04599683674269,359503581,0.15,99851.33000000007,0.20561819256688904,2,0.75,1.0280909628344452,1
BHARTIART,20190627,275.45,P,1851,44,64769335,318.65,277.05,547.35,150.95,75.25,16.41060294105276,285.82879411789446,367.8818088231583,359185833,2.25,110837.11999999918,0.3117050886759063,2,7.2,0.9974562837629004,1
BHARTIART,20190530,275.45,P,1851,16,64769335,318.65,277.05,547.35,106.84999999999997,70.35000000000002,14.048530986308277,290.55293802738345,360.79559295892483,355554843,1.3,110837.11999999918,0.4952647520072734,2,2.6,0.990529504014547,1
BHARTIART,20190530,270.0,P,1851,16,64769335,318.65,277.05,547.35,106.84999999999997,70.35000000000002,14.048530986308277,290.55293802738345,360.79559295892483,362156146,1.5,110837.11999999918,0.5714593292391617,2,2.6,0.990529504014547,1
BHEL,20190530,48.0,P,7500,16,95441327,59.85,56.2,107.8,19.599999999999994,19.099999999999994,5.620581983056095,48.60883603388781,76.71174594916829,355573322,0.05,89361.27999999933,0.09573147900298726,3,0.5,0.9573147900298725,1
BOSCHLTD,20190627,15750.0,P,30,44,56988066,17200.25,16629.55,22400.0,4785.950000000001,5147.950000000001,699.0824151239102,15802.08516975218,19297.49724537173,359186387,33.4,92898.88999999873,0.08947410948123886,2,373.3,1.0000205110582778,1
BOSCHLTD,20190627,15500.0,P,30,44,56988066,17200.25,16629.55,22400.0,4785.950000000001,5147.950000000001,699.0824151239102,15802.08516975218,19297.49724537173,359186376,18.65,92898.88999999873,0.04996084256961393,2,373.3,1.0000205110582778,1
BOSCHLTD,20190530,16000.0,P,30,16,56988066,17200.25,16629.55,22400.0,3324.9500000000007,3794.5,480.77389349421316,16238.702213011573,18642.57168048264,355552009,8.0,92898.88999999873,0.05893504217327111,2,135.75,1.0000539968776943,1
BPCL,20190627,230.0,P,1800,44,44652160,355.1,239.4,542.5,165.6,144.29999999999998,27.90478405471889,299.2904318905622,438.8143521641567,359204449,0.05,117802.25,0.006337662558150706,2,7.9,1.0013506841878117,1
BPCL,20190530,230.0,P,1800,16,44652160,355.1,239.4,542.5,144.29999999999998,80.64999999999998,17.372151264018232,320.35569747196354,407.2164537920547,359204313,0.05,117802.25,0.017428572034914443,2,2.85,0.9934286059901233,1
BRITANNIA,20190627,2150.0,P,200,44,343576985,2676.55,2200.0,3467.175,839.1750000000002,617.0,156.80497405388206,2362.940051892236,3146.9649221616464,359162403,0.5,97940.50999999978,0.008469891105789181,2,59.05,1.0002941395937024,1
