right,symbol,strike,dte,undPrice,pop,rom,price,expPrice,margin,lot,option
C,RPOWER,38,27,26.5,0.99996804,1.843985643,1,1.1,80984,16000,"Option(conId=343978757, symbol='RPOWER', lastTradeDateOrContractMonth='20190228', strike=38.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='RPOWER19FEB38CE', tradingClass='RPOWER')"
C,TV18BRDCS,47,27,32.6,0.999946805,1.825883728,1.25,1.35,83064.8,13000,"Option(conId=343972309, symbol='TV18BRDCS', lastTradeDateOrContractMonth='20190228', strike=47.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='TV18BRDCST19FEB47CE', tradingClass='TV18BRDCST')"
C,ZEEL,550,55,380.2,0.999876839,1.106652556,43.05,43.15,231709.088,1300,"Option(conId=347832609, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=550.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR550CE', tradingClass='ZEEL')"
C,ZEEL,560,55,380.2,0.999941448,1.060381369,41.25,41.35,231709.088,1300,"Option(conId=347832619, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=560.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR560CE', tradingClass='ZEEL')"
C,ZEEL,560,27,380.2,1,0.947797668,18.1,18.2,231709.088,1300,"Option(conId=343963841, symbol='ZEEL', lastTradeDateOrContractMonth='20190228', strike=560.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19FEB560CE', tradingClass='ZEEL')"
C,ZEEL,570,55,380.2,0.999972684,1.017966114,39.6,39.7,231709.088,1300,"Option(conId=347832624, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=570.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR570CE', tradingClass='ZEEL')"
C,ZEEL,570,27,380.2,1,0.882342028,16.85,16.95,231709.088,1300,"Option(conId=343963851, symbol='ZEEL', lastTradeDateOrContractMonth='20190228', strike=570.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19FEB570CE', tradingClass='ZEEL')"
C,ZEEL,580,55,380.2,0.999987481,0.97555086,37.95,38.05,231709.088,1300,"Option(conId=347832634, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=580.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR580CE', tradingClass='ZEEL')"
C,ZEEL,580,27,380.2,1,0.822122839,15.7,15.8,231709.088,1300,"Option(conId=343963856, symbol='ZEEL', lastTradeDateOrContractMonth='20190228', strike=580.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19FEB580CE', tradingClass='ZEEL')"
C,ZEEL,590,55,380.2,0.999994358,0.936991537,36.45,36.55,231709.088,1300,"Option(conId=347832642, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=590.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR590CE', tradingClass='ZEEL')"
C,ZEEL,600,55,380.2,0.999997497,0.898432215,34.95,35.05,231709.088,1300,"Option(conId=347832648, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=600.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR600CE', tradingClass='ZEEL')"
C,ZEEL,610,55,380.2,0.999998906,0.862443514,33.55,33.65,231709.088,1300,"Option(conId=347832659, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=610.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR610CE', tradingClass='ZEEL')"
C,ZEEL,620,55,380.2,0.999999528,0.827740123,32.2,32.3,231709.088,1300,"Option(conId=347832665, symbol='ZEEL', lastTradeDateOrContractMonth='20190328', strike=620.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='ZEEL19MAR620CE', tradingClass='ZEEL')"
