right,symbol,strike,dte,undPrice,pop,rom,price,expPrice,margin,lot,option
P,RELCAPITA,170,24,189.1,0.912709995010544,1.48708322292165,5.35,5.45,56662.935,4500,"Option(conId=343968606, symbol='RELCAPITA', lastTradeDateOrContractMonth='20190228', strike=170.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='RELCAPITAL19FEB170PE', tradingClass='RELCAPITAL')"
P,RELCAPITA,160,24,189.1,0.981228627503151,0.958960209173775,3.45,3.55,56662.935,4500,"Option(conId=343968596, symbol='RELCAPITA', lastTradeDateOrContractMonth='20190228', strike=160.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='RELCAPITAL19FEB160PE', tradingClass='RELCAPITAL')"
P,RELINFRA,230,24,267.1,0.931384826283228,1.14290465873277,6.1,6.2,72853.846,3900,"Option(conId=343983648, symbol='RELINFRA', lastTradeDateOrContractMonth='20190228', strike=230.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='RELINFRA19FEB230PE', tradingClass='RELINFRA')"
P,SUZLON,4,24,4.9,0.996626886006018,1.25624383094547,0.1,0.2,63522.7,228000,"Option(conId=344168107, symbol='SUZLON', lastTradeDateOrContractMonth='20190228', strike=4.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='SUZLON19FEB4PE', tradingClass='SUZLON')"
P,TATAGLOBA,190,24,204.1,0.942817602051192,0.96836522134491,3.35,3.45,81729.2363,6750,"Option(conId=343986737, symbol='TATAGLOBA', lastTradeDateOrContractMonth='20190228', strike=190.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='TATAGLOBAL19FEB190PE', tradingClass='TATAGLOBAL')"
P,UNIONBANK,60,24,81.45,0.99887564773653,1.69211065947618,2.65,2.75,115107.72,21000,"Option(conId=348171420, symbol='UNIONBANK', lastTradeDateOrContractMonth='20190228', strike=60.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='UNIONBANK19FEB60PE', tradingClass='UNIONBANK')"
C,BANKBAROD,125,24,112.45,0.909113372202328,1.07430711558147,2.05,2.25,80144.68,12000,"Option(conId=343958882, symbol='BANKBAROD', lastTradeDateOrContractMonth='20190228', strike=125.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='BANKBARODA19FEB125CE', tradingClass='BANKBARODA')"
C,DISHTV,48,52,23.65,0.904615185044679,0.804268378787311,2.2,3,106049.56,24000,"Option(conId=347845904, symbol='DISHTV', lastTradeDateOrContractMonth='20190328', strike=48.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='DISHTV19MAR48CE', tradingClass='DISHTV')"
C,DIVISLAB,1640,24,1506.2,0.93413819234388,0.880403640380547,22.5,30,107337.13,1200,"Option(conId=343946033, symbol='DIVISLAB', lastTradeDateOrContractMonth='20190228', strike=1640.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='DIVISLAB19FEB1640CE', tradingClass='DIVISLAB')"
C,DRREDDY,2900,24,2720.8,0.915020791850291,0.865259720009018,39.9,45,121047.47,750,"Option(conId=343964826, symbol='DRREDDY', lastTradeDateOrContractMonth='20190228', strike=2900.0, right='C', multiplier='1', exchange='NSE', currency='INR', localSymbol='DRREDDY19FEB2900CE', tradingClass='DRREDDY')"
