DES,ALBK,STK,NSE
DES,APOLLOTYR,STK,NSE
DES,BANKBAROD,STK,NSE
DES,BEML,STK,NSE
DES,BHEL,STK,NSE
DES,BPCL,STK,NSE
DES,DRREDDY,STK,NSE
DES,ENGINERSI,STK,NSE
DES,GMRINFRA,STK,NSE
DES,HEXAWARE,STK,NSE
DES,IBULHSGFI,STK,NSE
DES,IDEA,STK,NSE
DES,IFCI,STK,NSE
DES,IRB,STK,NSE
DES,JETAIRWAY,STK,NSE
DES,JINDALSTE,STK,NSE
DES,JISLJALEQ,STK,NSE
DES,JUSTDIAL,STK,NSE
DES,MMFIN,STK,NSE
DES,MOTHERSUM,STK,NSE
DES,MUTHOOTFI,STK,NSE
DES,NATIONALU,STK,NSE
DES,NCC,STK,NSE
DES,ORIENTBAN,STK,NSE
DES,PCJEWELLE,STK,NSE
DES,PNB,STK,NSE
DES,RCOM,STK,NSE
DES,RECLTD,STK,NSE
DES,RELCAPITA,STK,NSE
DES,RELINFRA,STK,NSE
DES,SRF,STK,NSE
DES,SUZLON,STK,NSE
DES,SYNDIBANK,STK,NSE
DES,TATAGLOBA,STK,NSE
DES,TITAN,STK,NSE
DES,UBL,STK,NSE
DES,UNIONBANK,STK,NSE
DES,VGUARD,STK,NSE
DES,VOLTAS,STK,NSE
