right,symbol,strike,dte,undPrice,pop,rom,price,expPrice,margin,lot,option
P,ALBK,31.0,25,45.15,0.9999948873561062,1.5229934745638938,1.35,1.45,116155.455,13000,"Option(conId=343978992, symbol='ALBK', lastTradeDateOrContractMonth='20190228', strike=31.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='ALBK19FEB31PE', tradingClass='ALBK')"
P,APOLLOTYR,190.0,25,204.35,0.9132897687994878,1.0101312385391754,3.65,3.75,109268.97,3000,"Option(conId=343987040, symbol='APOLLOTYR', lastTradeDateOrContractMonth='20190228', strike=190.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='APOLLOTYRE19FEB190PE', tradingClass='APOLLOTYRE')"
P,BANKBAROD,100.0,24,112.45,0.9537087604350907,0.8384836024050505,1.6,1.7,80144.68,4000,"Option(conId=343958845, symbol='BANKBAROD', lastTradeDateOrContractMonth='20190228', strike=100.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='BANKBARODA19FEB100PE', tradingClass='BANKBARODA')"
P,BEML,720.0,24,794.15,0.9121266682564544,1.1922592119807824,17.0,17.1,104801.0355,700,"Option(conId=343959068, symbol='BEML', lastTradeDateOrContractMonth='20190228', strike=720.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='BEML19FEB720PE', tradingClass='BEML')"
P,BEML,700.0,24,794.15,0.9569440376433102,0.9117276326911865,13.0,13.1,104801.0355,700,"Option(conId=343959062, symbol='BEML', lastTradeDateOrContractMonth='20190228', strike=700.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='BEML19FEB700PE', tradingClass='BEML')"
P,BHEL,58.0,24,64.7,0.9446016590159667,1.0045906749631652,1.1,1.2,86229.15,7500,"Option(conId=347810557, symbol='BHEL', lastTradeDateOrContractMonth='20190228', strike=58.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='BHEL19FEB58PE', tradingClass='BHEL')"
P,BHEL,57.5,24,64.7,0.9567759981078672,0.9132642499665137,1.0,1.1,86229.15,7500,"Option(conId=343980273, symbol='BHEL', lastTradeDateOrContractMonth='20190228', strike=57.5, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='BHEL19FEB57.5PE', tradingClass='BHEL')"
P,BPCL,320.0,24,345.45,0.9084911009935512,1.1200147956826343,6.5,6.6,109686.05099999999,1800,"Option(conId=344001866, symbol='BPCL', lastTradeDateOrContractMonth='20190228', strike=320.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='BPCL19FEB320PE', tradingClass='BPCL')"
P,DRREDDY,2550.0,24,2720.8,0.949563404088529,0.8446582981040415,38.95,39.05,121047.47,250,"Option(conId=343964773, symbol='DRREDDY', lastTradeDateOrContractMonth='20190228', strike=2550.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='DRREDDY19FEB2550PE', tradingClass='DRREDDY')"
P,ENGINERSI,100.0,24,112.6,0.9548272044105865,0.8440187954947482,1.6,1.7,81609.557,4100,"Option(conId=343976776, symbol='ENGINERSI', lastTradeDateOrContractMonth='20190228', strike=100.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='ENGINERSIN19FEB100PE', tradingClass='ENGINERSIN')"
P,GMRINFRA,14.0,24,15.2,0.9179971782305192,0.9692874352654464,0.25,0.35,121867.875,45000,"Option(conId=343990746, symbol='GMRINFRA', lastTradeDateOrContractMonth='20190228', strike=14.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='GMRINFRA19FEB14PE', tradingClass='GMRINFRA')"
P,HEXAWARE,310.0,24,342.6,0.9373257295765033,1.2082631389985918,7.0,7.1,91246.68,1500,"Option(conId=347848815, symbol='HEXAWARE', lastTradeDateOrContractMonth='20190228', strike=310.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='HEXAWARE19FEB310PE', tradingClass='HEXAWARE')"
P,IBULHSGFI,580.0,24,664.7,0.937872040723245,1.1563282357000741,26.25,26.35,119181.125,500,"Option(conId=343948260, symbol='IBULHSGFI', lastTradeDateOrContractMonth='20190228', strike=580.0, right='P', multiplier='1', exchange='NSE', currency='INR', localSymbol='IBULHSGFIN19FEB580PE', tradingClass='IBULHSGFIN')"
