symbol,expiration,strike,right,dte,margin,undPrice,lot,undId,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,optMargin,rom,remqty,expPrice,expRom,qty
AAPL,20190621,140.0,P,37,1207,188.9,100,265598,142.0,233.47,75.76000000000002,42.22,19.122050786006877,150.65589842798624,246.26615235802063,308586955,0.29,134.8000000000029,2.1222632127676175,2,0.33999999999999997,2.4881706632447935,1
AAPL,20190621,135.0,P,37,1207,188.9,100,265598,142.0,233.47,75.76000000000002,42.22,19.122050786006877,150.65589842798624,246.26615235802063,308586948,0.2,114.00999999999478,1.7305262459197117,2,0.25,2.16315780739964,1
AAPL,20190621,130.0,P,37,1207,188.9,100,265598,142.0,233.47,75.76000000000002,42.22,19.122050786006877,150.65589842798624,246.26615235802063,308586945,0.14,94.67999999999302,1.4586830176184866,2,0.19,1.9796412381965174,1
ACN,20190628,130.0,P,44,1111,173.61,100,67889930,132.63,183.35,35.74000000000001,30.210000000000008,13.281293836937131,147.04741232612577,213.4538815108114,365802191,0.35,117.11000000000057,2.4792153453241195,2,0.39999999999999997,2.8333889660847085,2
ACN,20190621,130.0,P,37,1111,173.61,100,67889930,132.63,183.35,35.74000000000001,27.47,13.281293836937131,147.04741232612577,213.4538815108114,315853195,0.2,118.86000000000057,1.659913320690698,2,0.25,2.0748916508633726,2
ACN,20190621,125.0,P,37,1111,173.61,100,67889930,132.63,183.35,35.74000000000001,27.47,13.281293836937131,147.04741232612577,213.4538815108114,315853188,0.2,98.61999999999534,2.0005809906439525,2,0.25,2.5007262383049405,2
ADBE,20190621,165.0,P,37,1740,272.735,100,265768,165.68,291.71,70.00999999999996,58.420000000000016,18.620587949849458,235.49382410030108,328.5967638495484,316298060,0.1,82.58999999999652,1.1944381722805764,1,0.15000000000000002,1.7916572584208648,1
ADBE,20190621,155.0,P,37,1740,272.735,100,265768,165.68,291.71,70.00999999999996,58.420000000000016,18.620587949849458,235.49382410030108,328.5967638495484,316298054,0.07,61.08000000000175,1.1305509832032103,1,0.12000000000000001,1.9380873997769317,1
ADBE,20190621,150.0,P,37,1740,272.735,100,265768,165.68,291.71,70.00999999999996,58.420000000000016,18.620587949849458,235.49382410030108,328.5967638495484,316298051,0.06,51.80000000000291,1.1426484399456731,1,0.11,2.094855473233734,1
AGN,20190531,125.0,P,16,877,135.96,100,196610642,125.84,197.0,38.44,32.85000000000001,4.457459204746963,127.04508159050609,149.3323776142409,360766942,0.94,298.52999999999884,7.183113924898698,3,0.99,7.565194452818842,1
AGN,20190524,125.0,P,9,877,135.96,100,196610642,125.84,197.0,36.81,26.909999999999997,4.0980045537205045,127.763990892559,148.25401366116154,360121029,0.62,275.5800000000017,9.124190595995461,3,0.67,9.860012418253158,1
AGN,20190524,124.0,P,9,877,135.96,100,196610642,125.84,197.0,36.81,26.909999999999997,4.0980045537205045,127.763990892559,148.25401366116154,361266108,0.52,253.00999999999482,8.335199750558997,3,0.5700000000000001,9.136661265035826,1
AIG,20190621,36.0,P,37,329,51.629999999999995,100,61319701,36.16,65.05,15.68,9.809999999999995,3.16738987012087,45.29522025975825,61.13216961036261,357114391,0.01,24.80000000000291,0.39777680906708496,9,0.07,2.784437663469595,1
AMZN,20190621,1120.0,P,37,38553,1840.0,100,3691937,1124.74,2050.5,613.2,471.3399999999999,137.4564003199826,1565.087199360035,2252.3692009599476,280233421,0.5,546.959999999992,0.90179033794656,1,0.55,0.9919693717412161,1
AMZN,20190531,1120.0,P,16,38553,1840.0,100,3691937,1124.74,2050.5,471.3399999999999,398.0,85.77962782998671,1668.4407443400266,2097.33888348996,360990538,0.23,500.01999999998947,1.049333026678955,1,0.28,1.2774489020439452,1
AMZN,20190531,1100.0,P,16,38553,1840.0,100,3691937,1124.74,2050.5,471.3399999999999,398.0,85.77962782998671,1668.4407443400266,2097.33888348996,360990525,0.22,460.86999999999534,1.0889730292707382,1,0.27,1.3364668995595421,1
AXP,20190621,85.0,P,37,753,117.23,100,4721,87.54,119.66,25.5,19.42,7.07218586506322,103.08562826987357,138.44655759518966,361540817,0.07,66.33000000000176,1.0410682052472822,4,0.12000000000000001,1.784688351852484,4
BA,20190628,265.0,P,44,2361,343.25,100,4762,266.15,446.01,97.66999999999996,148.95,35.13492237462376,272.9801552507525,448.6547671238713,365645968,1.05,341.31999999999243,2.551924080841282,1,1.1,2.673444275167058,1
BA,20190524,265.0,P,9,2361,343.25,100,4762,266.15,446.01,82.68,72.38999999999999,14.374460699732815,314.50107860053436,386.37338209919847,360373481,0.18,247.5,2.9494949494949494,1,0.22999999999999998,3.7687991021324354,1
BA,20190524,260.0,P,9,2361,343.25,100,4762,266.15,446.01,82.68,72.38999999999999,14.374460699732815,314.50107860053436,386.37338209919847,360542981,0.17,221.55999999999767,3.111773083789726,1,0.22000000000000003,4.02700046137494,1
BAC,20190621,22.0,P,37,183,28.64,100,10098,22.66,33.05,6.460000000000001,7.059999999999999,2.0149434595198272,24.610113080960346,34.68483037855948,335001216,0.06,23.769999999989523,2.4900794778803226,17,0.11,4.565145709447259,17
BAC,20190621,21.0,P,37,183,28.64,100,10098,22.66,33.05,6.460000000000001,7.059999999999999,2.0149434595198272,24.610113080960346,34.68483037855948,335001215,0.04,19.05000000000291,2.0713627012836446,17,0.09,4.660566077888201,17
BAC,20190531,22.5,P,16,183,28.64,100,10098,22.66,33.05,6.379999999999999,6.309999999999999,1.1239720731981921,26.392055853603615,32.011916219594575,360543864,0.02,21.989999999990687,2.0748067303328477,17,0.07,7.261823556164968,1
