DES,ABBV,STK,SMART
DES,AMGN,STK,SMART
DES,BIIB,STK,SMART
DES,BKNG,STK,SMART
DES,BMY,STK,SMART
DES,CVS,STK,SMART
DES,DOW,STK,SMART
DES,DWDP,STK,SMART
DES,GILD,STK,SMART
DES,KHC,STK,SMART
DES,MMM,STK,SMART
DES,WFC,STK,SMART
DES,AAPL,STK,SMART
DES,ACN,STK,SMART
DES,ADBE,STK,SMART
DES,AGN,STK,SMART
DES,AIG,STK,SMART
DES,AMZN,STK,SMART
DES,AXP,STK,SMART
DES,BA,STK,SMART
DES,BAC,STK,SMART
DES,BK,STK,SMART
DES,BLK,STK,SMART
DES,BRK B,STK,SMART
DES,C,STK,SMART
DES,CAT,STK,SMART
DES,CELG,STK,SMART
DES,CHTR,STK,SMART
DES,CMCSA,STK,SMART
DES,COF,STK,SMART
DES,COP,STK,SMART
DES,CVX,STK,SMART
DES,DIS,STK,SMART
DES,DOW,STK,SMART
DES,EMR,STK,SMART
DES,F,STK,SMART
DES,FB,STK,SMART
DES,FDX,STK,SMART
DES,GD,STK,SMART
DES,GM,STK,SMART
DES,GOOG,STK,SMART
DES,GS,STK,SMART
DES,HD,STK,SMART
DES,HON,STK,SMART
DES,IBM,STK,SMART
DES,INTC,STK,SMART
DES,JNJ,STK,SMART
DES,JPM,STK,SMART
DES,KHC,STK,SMART
DES,KMI,STK,SMART
DES,KO,STK,SMART
DES,LLY,STK,SMART
DES,LMT,STK,SMART
DES,MCD,STK,SMART
DES,MDT,STK,SMART
DES,MET,STK,SMART
DES,MMM,STK,SMART
DES,MO,STK,SMART
DES,MRK,STK,SMART
DES,MS,STK,SMART
DES,MSFT,STK,SMART
DES,NFLX,STK,SMART
DES,NVDA,STK,SMART
DES,OXY,STK,SMART
DES,PEP,STK,SMART
DES,PFE,STK,SMART
DES,PM,STK,SMART
DES,PYPL,STK,SMART
DES,QCOM,STK,SMART
DES,RTN,STK,SMART
DES,SLB,STK,SMART
DES,T,STK,SMART
DES,TGT,STK,SMART
DES,TXN,STK,SMART
DES,UNH,STK,SMART
DES,UPS,STK,SMART
DES,USB,STK,SMART
DES,UTX,STK,SMART
DES,V,STK,SMART
DES,WBA,STK,SMART
DES,WFC,STK,SMART
DES,XOM,STK,SMART
DES,ABT,STK,SMART
DES,CL,STK,SMART
DES,COST,STK,SMART
DES,CSCO,STK,SMART
DES,LOW,STK,SMART
DES,MA,STK,SMART
DES,NKE,STK,SMART
DES,PG,STK,SMART
DES,SBUX,STK,SMART
DES,UNP,STK,SMART
DES,VZ,STK,SMART
DES,WMT,STK,SMART
